name,description,manufacturer
Acer Chromebook Spin 513,Qualcomm Snapdragon laptop,Acer
Acer Nitro XV272U,Gaming monitor,Acer
Acer Predator Helios 300,Gaming laptop,Acer
Acer Predator Triton 500,Gaming laptop (Intel Core i7),Acer
Acer Predator Helios 500,Gaming laptop (Intel Core i9),Acer
Acer Swift 7,Ultra-thin laptop (Intel Core i7),Acer
Acer ConceptD 7,Creator laptop (Intel Core i7),Acer
Apple AirPods (3rd Gen),Wireless earbuds,Apple
Apple AirPods Pro,Wireless earbuds,Apple
Apple iPad Pro,Tablet,Apple
Apple MacBook Air (M1),Laptop,Apple
Apple MacBook Pro (M1),Laptop,Apple
Apple Magic Keyboard,Wireless keyboard,Apple
Apple Magic Mouse 2,Wireless mouse,Apple
Apple TV 4K,Streaming device,Apple
Apple Watch Series 7,Smartwatch,Apple
Apple iPad mini (6th Gen),Tablet,Apple
Apple iPhone 13,Smartphone,Apple
Apple iPhone SE (2nd Gen),Smartphone,Apple
Apple iMac (24-inch, M1),All-in-one desktop,Apple
Apple Magic Trackpad 2,Wireless trackpad,Apple
Apple Pro Display XDR,Professional display,Apple
Apple Siri Remote (2nd Gen),Apple TV remote,Apple
Apple Smart Keyboard Folio,Keyboard case for iPad,Apple
Apple TV HD,Streaming device,Apple
Apple Mac mini (M1),Desktop computer,Apple
Apple AirTag,Bluetooth tracker,Apple
Apple HomePod Mini,Smart speaker,Apple
Apple iPhone 12 Mini,Smartphone,Apple
Apple iPhone 12 Pro Max,Smartphone,Apple
Apple MacBook Pro (16-inch, M1 Max),Laptop,Apple
Apple MacBook Pro (14-inch, M1 Pro),Laptop,Apple
Apple Watch Hermès,Smartwatch,Apple
Apple Watch Nike Series 7,Smartwatch,Apple
Apple Mac Pro,Desktop computer,Apple
Apple MacBook Air (13-inch M1),Laptop,Apple
ASUS Chromebook Flip C434,Intel Core m3 laptop,ASUS
ASUS ROG Strix GL12CX,Gaming desktop (Intel Core i9),ASUS
ASUS ROG Strix Scar 17,Gaming laptop (Intel Core i9),ASUS
ASUS ROG Swift PG279Q,Gaming monitor,ASUS
ASUS ROG Zephyrus G14,Gaming laptop (AMD Ryzen 9),ASUS
ASUS ROG Zephyrus G15,Gaming laptop (AMD Ryzen 9),ASUS
ASUS ROG Zephyrus S17,Gaming laptop (Intel Core i9),ASUS
ASUS TUF Gaming VG27AQ,Gaming monitor,ASUS
ASUS TUF Gaming VG32VQ1B,Gaming monitor,ASUS
ASUS VivoBook S15,Intel Core i5 laptop,ASUS
Dell G15,Gaming laptop (AMD Ryzen 7),Dell
Dell UltraSharp U2720Q,4K UHD monitor,Dell
Dell XPS 13,Intel Core i7 laptop,Dell
Dell XPS 15,Laptop,Dell
Dell Alienware Area-51m R2,Gaming laptop (Intel Core i9),Dell
Dell G5 15 SE,Gaming laptop (AMD Ryzen 5),Dell
Dell Inspiron 14 7000,2-in-1 laptop (Intel Core i5),Dell
Dell Inspiron 15 3000,Laptop (Intel Core i3),Dell
Dell Inspiron 15 5000,Laptop (Intel Core i7),Dell
Dell Inspiron 27 7000,All-in-one desktop (AMD Ryzen 7),Dell
Dell Latitude 5420,Rugged laptop (Intel Core i5),Dell
Dell Precision 5550,Mobile workstation (Intel Core i7),Dell
Dell UltraSharp UP3218K,8K monitor,Dell
Dell XPS 17,Laptop (Intel Core i7),Dell
Google Chromecast with Google TV,Streaming device,Google
Google Nest Audio,Smart speaker,Google
Google Nest Hello,Video doorbell,Google
Google Nest Hub (2nd Gen),Smart display,Google
Google Pixel 6,Smartphone,Google
Google Pixel Buds A-Series,Wireless earbuds,Google
HP Elite Dragonfly,Intel Core i7 laptop,HP
HP Envy x360,AMD Ryzen 7 laptop,HP
HP Omen 15,Gaming laptop (AMD Ryzen 7),HP
HP Pavilion 14,Intel Core i5 laptop,HP
HP Spectre x360,Intel Core i7 laptop,HP
HP Chromebook x360 14c,2-in-1 laptop (Intel Core i3),HP
HP EliteBook x360 1040 G7,2-in-1 laptop (Intel Core i7),HP
HP ENVY 13,Laptop (Intel Core i7),HP
HP ENVY x360 15,2-in-1 laptop (AMD Ryzen 7),HP
HP Omen 30L,Gaming desktop (AMD Ryzen 9),HP
HP Pavilion 15,Laptop (Intel Core i5),HP
HP Pavilion Gaming 16,Gaming laptop (Intel Core i7),HP
HP Reverb G2,Virtual Reality Headset,HP
HP Spectre x360 14,2-in-1 laptop (Intel Core i7),HP
HP ZBook Fury 15 G7,Mobile workstation (Intel Core i7),HP
Samsung Galaxy Book Pro,Intel Core i7 laptop,Samsung
Samsung Galaxy S21,Smartphone,Samsung
Samsung Galaxy Tab S7,Tablet,Samsung
Samsung Odyssey G9,Gaming monitor,Samsung
Samsung Q80T,QLED TV,Samsung
Samsung T7 Touch,Portable SSD,Samsung
Sony A7S III,Mirrorless camera,Sony
Sony WH-1000XM4,Noise-cancelling headphones,Sony
Sony PlayStation 5,Game console,Sony
Sony X900H,4K UHD TV,Sony
Sony Bravia A8H,4K UHD TV,Sony
Sony Cyber-shot RX100 VII,Compact camera,Sony
Sony FE 24-70mm f/2.8 GM,Full-frame lens,Sony
Sony PlayStation 5 DualSense Wireless Controller,Wireless Controller,Sony
Sony SRS-XB43,Portable Bluetooth speaker,Sony
Sony WH-1000XM3,Noise-cancelling headphones,Sony
Sony Xperia 5 II,Smartphone,Sony
Sony Xperia Pro,Smartphone (with HDMI input),Sony
Sony ZV-1,Compact camera (for vlogging),Sony
